source,N,fields,unique_fields,iterations,metric,baseline,flux,paired_gain,ci95_low,ci95_high
ood_test_b,32,200,2,20,certified_top10_recall,0.7304854368932038,0.811650485436893,0.08116504854368926,0.07640776699029123,0.08592233009708733
ood_test_b,32,200,2,20,resolved_fraction,0.945625,0.95921875,0.01359375,0.0133203125,0.0138671875
ood_test_b,32,200,2,40,certified_top10_recall,1.0,1.0,0.0,0.0,0.0
ood_test_b,32,200,2,40,resolved_fraction,1.0,1.0,0.0,0.0,0.0
ood_test_cs,32,200,200,20,certified_top10_recall,0.41567961165048545,0.5561650485436893,0.14048543689320386,0.12961043689320387,0.15097087378640775
ood_test_cs,32,200,200,20,resolved_fraction,0.732958984375,0.8532568359375,0.1202978515625,0.1030364990234375,0.13990734863281248
ood_test_cs,32,200,200,40,certified_top10_recall,0.999757281553398,0.9999514563106797,0.0001941747572815533,4.8543689320388326e-05,0.0003883495145631066
ood_test_cs,32,200,200,40,resolved_fraction,0.999951171875,0.999990234375,3.90625e-05,9.765625e-06,7.8125e-05
ood_test_id,32,200,200,20,certified_top10_recall,0.6093203883495145,0.723883495145631,0.11456310679611649,0.1036395631067961,0.12611650485436893
ood_test_id,32,200,200,20,resolved_fraction,0.826767578125,0.902294921875,0.07552734375,0.0603555908203125,0.09201745605468749
ood_test_id,32,200,200,40,certified_top10_recall,0.9999514563106797,0.9999514563106797,0.0,0.0,0.0
ood_test_id,32,200,200,40,resolved_fraction,0.999990234375,0.999990234375,0.0,0.0,0.0
ood_test_r,32,200,200,20,certified_top10_recall,0.007815533980582524,0.06058252427184465,0.05276699029126213,0.03528883495145631,0.07106917475728154
ood_test_r,32,200,200,20,resolved_fraction,0.0484033203125,0.1907861328125,0.1423828125,0.111751220703125,0.1740643310546875
ood_test_r,32,200,200,40,certified_top10_recall,0.34368932038834954,0.5839805825242719,0.24029126213592228,0.21184466019417475,0.2687936893203882
ood_test_r,32,200,200,40,resolved_fraction,0.5497119140625,0.791064453125,0.2413525390625,0.20817736816406252,0.273784912109375
submission_32_k10,32,200,200,20,certified_top10_recall,0.9999514563106797,0.9999514563106797,0.0,0.0,0.0
submission_32_k10,32,200,200,20,resolved_fraction,0.999990234375,0.999990234375,0.0,0.0,0.0
submission_32_k10,32,200,200,40,certified_top10_recall,1.0,1.0,0.0,0.0,0.0
submission_32_k10,32,200,200,40,resolved_fraction,1.0,1.0,0.0,0.0,0.0
submission_32_k100,32,200,200,20,certified_top10_recall,0.6457766990291262,0.7504854368932038,0.10470873786407767,0.09378640776699029,0.11553519417475726
submission_32_k100,32,200,200,20,resolved_fraction,0.8439453125,0.9164892578125,0.0725439453125,0.0568590087890625,0.0894923095703125
submission_32_k100,32,200,200,40,certified_top10_recall,0.9999514563106797,0.9999514563106797,0.0,0.0,0.0
submission_32_k100,32,200,200,40,resolved_fraction,0.999990234375,0.999990234375,0.0,0.0,0.0
submission_32_k500,32,200,200,20,certified_top10_recall,0.16262135922330095,0.24058252427184468,0.07796116504854368,0.06582402912621357,0.09009708737864078
submission_32_k500,32,200,200,20,resolved_fraction,0.2973583984375,0.4106640625,0.1133056640625,0.09190380859375,0.13739965820312489
submission_32_k500,32,200,200,40,certified_top10_recall,0.9947087378640777,0.9969902912621359,0.0022815533980582513,0.0014563106796116499,0.0032038834951456296
submission_32_k500,32,200,200,40,resolved_fraction,0.998818359375,0.999345703125,0.00052734375,0.0003662109375,0.000703125
submission_64_k10,64,200,200,20,certified_top10_recall,0.9998902439024391,0.9999024390243904,1.2195121951219523e-05,0.0,3.658536585365857e-05
submission_64_k10,64,200,200,20,resolved_fraction,0.99997802734375,0.99998046875,2.44140625e-06,0.0,7.32421875e-06
submission_64_k10,64,200,200,40,certified_top10_recall,1.0,1.0,0.0,0.0,0.0
submission_64_k10,64,200,200,40,resolved_fraction,1.0,1.0,0.0,0.0,0.0
submission_64_k100,64,200,200,20,certified_top10_recall,0.5503536585365854,0.6645243902439024,0.11417073170731708,0.10414603658536586,0.12412225609756099
submission_64_k100,64,200,200,20,resolved_fraction,0.772921142578125,0.866796875,0.093875732421875,0.07564544677734375,0.1133470764160156
submission_64_k100,64,200,200,40,certified_top10_recall,0.9998292682926829,0.9998658536585365,3.658536585365857e-05,0.0,8.536585365853666e-05
submission_64_k100,64,200,200,40,resolved_fraction,0.9999658203125,0.99997314453125,7.32421875e-06,0.0,1.708984375e-05
submission_64_k500,64,200,200,20,certified_top10_recall,0.10653658536585367,0.16429268292682928,0.05775609756097562,0.04774359756097561,0.06824420731707317
