sample,iterations,iterations_executed,cg_info,bound,a_min,actual_contrast,resolved_fraction,all_cells_resolved,certified_top10_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,flux_to_baseline_bound_ratio,corrected_prediction_relative_l2,relative_l2_correction_error,same_A_identity_relative_error,numeric_tolerance,false_high,false_low,bound_violations,raw_positive_bound_exceedances,max_positive_bound_excess_over_error_scale,positive_flux_excess_over_baseline_bound,baseline_flags_lost_by_flux
0,20,20,20,baseline,1.0,100.0,0.607421875,False,0.1262135922330097,13,609,0.4458582684263553,0.5313649812283473,0.00021312887202202955,0.0010978921449024833,1.880369549810422e-14,1.5053169219606096e-12,0,0,0,0,0.0,0.0,0
0,20,20,20,equilibrated_flux,1.0,100.0,0.751953125,False,0.2912621359223301,30,740,0.23691347043287372,0.5313649812283473,0.00021312887202202955,0.0010978921449024833,1.880369549810422e-14,1.5053169219606096e-12,0,0,0,0,0.0,0.0,0
0,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,6.030609431270059e-06,0.6211639601004112,1.1901226099999458e-08,6.130686344041065e-08,1.880369549810422e-14,1.5053169219606096e-12,0,0,0,0,0.0,0.0,0
0,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,3.7459972361465985e-06,0.6211639601004112,1.1901226099999458e-08,6.130686344041065e-08,1.880369549810422e-14,1.5053169219606096e-12,0,0,0,0,0.0,0.0,0
1,20,20,20,baseline,1.0,100.0,0.8701171875,False,0.49514563106796117,51,840,0.1669923514353831,0.5971938133169306,2.806708280190838e-05,0.0014241500937419284,1.1273618918814677e-14,2.7930095629265996e-13,0,0,0,0,0.0,0.0,0
1,20,20,20,equilibrated_flux,1.0,100.0,0.908203125,False,0.6019417475728155,62,868,0.09972679914845742,0.5971938133169306,2.806708280190838e-05,0.0014241500937419284,1.1273618918814677e-14,2.7930095629265996e-13,0,0,0,0,0.0,0.0,0
1,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,4.317916802663432e-05,0.47413282457447997,2.1515150291024028e-09,1.0916988960737478e-07,1.1273618918814677e-14,2.7930095629265996e-13,0,0,0,0,0.0,0.0,0
1,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,2.0472660899244206e-05,0.47413282457447997,2.1515150291024028e-09,1.0916988960737478e-07,1.1273618918814677e-14,2.7930095629265996e-13,0,0,0,0,0.0,0.0,0
2,20,20,20,baseline,1.0,100.0,0.927734375,False,0.6310679611650486,65,885,0.25637941555952376,0.6121971781905254,0.0001875924143049016,0.0019893041562966643,1.202557060195968e-14,5.524765642276519e-13,0,0,0,0,0.0,0.0,0
2,20,20,20,equilibrated_flux,1.0,100.0,0.962890625,False,0.7669902912621359,79,907,0.15695475475167653,0.6121971781905254,0.0001875924143049016,0.0019893041562966643,1.202557060195968e-14,5.524765642276519e-13,0,0,0,0,0.0,0.0,0
2,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,7.832539891164525e-05,0.48700956891345754,9.624381104682196e-09,1.0206074378112513e-07,1.202557060195968e-14,5.524765642276519e-13,0,0,0,0,0.0,0.0,0
2,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,3.814521875893495e-05,0.48700956891345754,9.624381104682196e-09,1.0206074378112513e-07,1.202557060195968e-14,5.524765642276519e-13,0,0,0,0,0.0,0.0,0
3,20,20,20,baseline,1.0,100.0,0.9267578125,False,0.6893203883495146,71,878,0.2169022960356494,0.5624620174250621,5.2464472009673464e-05,0.0011794155525867288,1.2083143066163026e-14,4.2130111252241695e-13,0,0,0,0,0.0,0.0,0
3,20,20,20,equilibrated_flux,1.0,100.0,0.958984375,False,0.8058252427184466,83,899,0.1219993030123394,0.5624620174250621,5.2464472009673464e-05,0.0011794155525867288,1.2083143066163026e-14,4.2130111252241695e-13,0,0,0,0,0.0,0.0,0
3,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,2.0297648493643678e-05,0.6967754227249934,1.3232400986929163e-08,2.974679611458835e-07,1.2083143066163026e-14,4.2130111252241695e-13,0,0,0,0,0.0,0.0,0
3,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.41429026094819e-05,0.6967754227249934,1.3232400986929163e-08,2.974679611458835e-07,1.2083143066163026e-14,4.2130111252241695e-13,0,0,0,0,0.0,0.0,0
4,20,20,20,baseline,1.0,100.0,0.9921875,False,0.9805825242718447,101,915,0.023817471018135115,0.510194998041957,4.274261088518308e-06,6.215895747575574e-05,1.24567106437839e-14,9.241420080711957e-13,0,0,0,0,0.0,0.0,0
4,20,20,20,equilibrated_flux,1.0,100.0,0.9970703125,False,0.9902912621359223,102,919,0.012151554579461812,0.510194998041957,4.274261088518308e-06,6.215895747575574e-05,1.24567106437839e-14,9.241420080711957e-13,0,0,0,0,0.0,0.0,0
4,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,1.1526210153405569e-06,0.41917107843433465,7.575756328263383e-11,1.1017135040285123e-09,1.24567106437839e-14,9.241420080711957e-13,0,0,0,0,0.0,0.0,0
4,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,4.83145394026379e-07,0.41917107843433465,7.575756328263383e-11,1.1017135040285123e-09,1.24567106437839e-14,9.241420080711957e-13,0,0,0,0,0.0,0.0,0
