test_set,test_label,family,method,method_label,alpha,qhat,mode,scale_floor,calibration_count,coverage_scope,scale,hybrid_sigma_calib_median,hybrid_rung4_calib_median,marginal_coverage,fieldwise_coverage,mean_width,interface_coverage,interior_coverage,width_error_spearman,width_error_auroc_top10,marginal_coverage_ci95_low,marginal_coverage_ci95_high,fieldwise_coverage_ci95_low,fieldwise_coverage_ci95_high,mean_width_ci95_low,mean_width_ci95_high,interface_coverage_ci95_low,interface_coverage_ci95_high,interior_coverage_ci95_low,interior_coverage_ci95_high,width_error_spearman_ci95_low,width_error_spearman_ci95_high,width_error_auroc_top10_ci95_low,width_error_auroc_top10_ci95_high,weighted_claim_scope,weighted_ratio_model,weighted_classifier_train_auc,weighted_effective_sample_size,weighted_weight_min,weighted_weight_max,unweighted_scalar_qhat,unweighted_scalar_fieldwise_coverage,weighted_scalar_fieldwise_coverage
test_id,TEST_ID,C,global_cell,global cell,0.1,0.0030437136774388463,cellwise,,204800,empirical_pooled_cell_diagnostic,none,0.00058948121035326,0.0006868949683765302,0.9013037109375,0.05,0.00608742735487769,0.8054835232073657,0.9205943254007825,0.0,0.5,0.88447705078125,0.916358642578125,0.025,0.08,0.00608742735487769,0.00608742735487769,0.7807152800290007,0.8295080071704123,0.9054450984965374,0.9345805511609712,0.0,0.0,0.5,0.5,,,,,,,,,
test_id,TEST_ID,C,global_field,global field,0.1,0.010979890477065827,fieldwise,,200,exchangeable_field_split_conformal,none,0.00058948121035326,0.0006868949683765302,0.996552734375,0.885,0.02195978095413165,0.9894233850995018,0.9979880219851125,0.0,0.5,0.993862060546875,0.998681884765625,0.84,0.925,0.02195978095413165,0.02195978095413165,0.9820226458756856,0.9955710722511093,0.9960532008340401,0.9993806863495703,0.0,0.0,0.5,0.5,,,,,,,,,
test_id,TEST_ID,C,ensemble_norm,ensemble norm,0.1,5.280740297437959,cellwise,2.9474060517663e-05,204800,empirical_pooled_cell_diagnostic,sigma_ens,0.00058948121035326,0.0006868949683765302,0.9066455078125,0.0,0.007756720656400369,0.8733719879956878,0.9133441655570481,0.33492195385472456,0.7018360952109884,0.8966790771484375,0.9149615478515625,0.0,0.0,0.0075179263047970325,0.007992838723611163,0.8602958433004634,0.8849101289907992,0.9042766945133173,0.9211784784548609,0.3201890734607405,0.34970679077701905,0.6926087449796022,0.7108465075951634,,,,,,,,,
test_id,TEST_ID,C,raw_residual_norm,raw |r| norm,0.1,0.0036797855672185014,cellwise,0.0666141523580718,204800,empirical_pooled_cell_diagnostic,abs_r,0.00058948121035326,0.0006868949683765302,0.9072216796875,0.0,0.20849667113542097,0.9468255586958422,0.8992485878026033,0.25048455499486655,0.6921489147507458,0.9004638671875,0.9132623291015625,0.0,0.0,0.19759102169244339,0.21906119135180332,0.941815105177028,0.9511680704398151,0.8920500435986375,0.9060372937100324,0.2340650254613357,0.2677308002725756,0.679953022384913,0.7047395441320642,,,,,,,,,
test_id,TEST_ID,C,jacobi20_norm,Jacobi-20 norm,0.1,8.890708382647864,cellwise,2.0530146365369923e-05,204800,empirical_pooled_cell_diagnostic,jacobi20,0.00058948121035326,0.0006868949683765302,0.902783203125,0.0,0.009956464935669162,0.8937968007925177,0.9045923544835435,0.5208307905170948,0.8355064935749449,0.893771728515625,0.9112315673828125,0.0,0.0,0.009656364716952638,0.010282736271438817,0.8832168558672552,0.9043531042605812,0.895322045000264,0.9130412078268908,0.5045240369429737,0.537013733682984,0.8226123897093703,0.8486804404773199,,,,,,,,,
test_id,TEST_ID,C,rung4_norm,rung-4 norm,0.1,1.6990971306586913,cellwise,3.434474841882651e-05,204800,empirical_pooled_cell_diagnostic,rung4,0.00058948121035326,0.0006868949683765302,0.8818115234375,0.0,0.003656981505065426,0.8413799131726931,0.8899512549932836,0.9039382034762656,0.9692230901405184,0.867202392578125,0.89560595703125,0.0,0.0,0.0033539481567650934,0.004027699619556134,0.8227737193945086,0.859592136888575,0.8764894804502805,0.9019333018404432,0.8894876036420563,0.9188032367526722,0.9595633202618512,0.9771911941431326,,,,,,,,,
test_id,TEST_ID,C,hybrid_ens_rung4,ens+rung4 hybrid,0.1,0.0012888526391874008,cellwise,0.05441712664134906,204800,empirical_pooled_cell_diagnostic,hybrid,0.00058948121035326,0.0006868949683765302,0.893486328125,0.0,0.0036250221757929374,0.8328137292036946,0.9057009954305222,0.7984995589493212,0.9519233526243107,0.8813843994140624,0.9046982421875,0.0,0.0,0.003418230036920587,0.0038549077695932466,0.8161083880764768,0.8500719520109365,0.8938952502809627,0.9157061794618448,0.7864675842181466,0.811097448892515,0.945991438969883,0.9576531537585782,,,,,,,,,
test_r,TEST_R,R,global_cell,global cell,0.1,0.0030437136774388463,cellwise,,204800,empirical_pooled_cell_diagnostic,none,0.00058948121035326,0.0006868949683765302,0.2799658203125,0.0,0.00608742735487769,0.22189964677989066,0.2864831399043083,0.0,0.5,0.2654664306640625,0.29470312499999995,0.0,0.0,0.00608742735487769,0.00608742735487769,0.2069240212725562,0.23843186412168518,0.27190837689340147,0.30174305626278036,0.0,0.0,0.5,0.5,,,,,,,,,
test_r,TEST_R,R,global_field,global field,0.1,0.010979890477065827,fieldwise,,200,exchangeable_field_split_conformal,none,0.00058948121035326,0.0006868949683765302,0.790849609375,0.0,0.02195978095413165,0.7180045483137368,0.7990257042463871,0.0,0.5,0.774306884765625,0.8071075439453125,0.0,0.0,0.02195978095413165,0.02195978095413165,0.6934490042788808,0.7423784374109216,0.7815419192026519,0.8162494528301292,0.0,0.0,0.5,0.5,,,,,,,,,
test_r,TEST_R,R,ensemble_norm,ensemble norm,0.1,5.280740297437959,cellwise,2.9474060517663e-05,204800,empirical_pooled_cell_diagnostic,sigma_ens,0.00058948121035326,0.0006868949683765302,0.8183251953125,0.0,0.031745125875119795,0.7891324333478492,0.8216017769764247,0.24973624529802055,0.6349604166007822,0.807626220703125,0.8288388671875,0.0,0.0,0.03099388910317147,0.03247269294506146,0.7710532857070952,0.80737655816055,0.8108811220180936,0.8316110903656516,0.22677827076335869,0.2733733532582613,0.615929504917618,0.6545417852587416,,,,,,,,,
