sample,iterations,resolved_fraction,certified_high_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,relative_l2_correction_error,max_bound_excess_over_error_scale,false_high,false_low,bound_violations
0,5,0.0,0.0,0,0,2.474420039858303,0.04548872011861242,0.0,0,0,0
0,10,0.9638671875,0.8252427184466019,85,902,0.07402502935628581,0.0015185001403529613,0.0,0,0,0
0,20,1.0,1.0,103,921,3.3880625528644305e-05,6.559231494161893e-07,0.0,0,0,0
0,40,1.0,1.0,103,921,6.149870862803108e-13,9.810070052279247e-14,0.0,0,0,0
0,80,1.0,1.0,103,921,1.994688181903397e-13,1.0494740083910255e-13,2.956531638246852e-14,0,0,0
1,5,0.0,0.0,0,0,2.3639040898739894,0.06686030395206705,0.0,0,0,0
1,10,0.9736328125,0.9029126213592233,93,904,0.051261048526074784,0.001216963013915744,0.0,0,0,0
1,20,1.0,1.0,103,921,1.5671072534523584e-05,1.831161129261892e-07,0.0,0,0,0
1,40,1.0,1.0,103,921,5.053680511503476e-13,1.9650245531445085e-13,0.0,0,0,0
1,80,1.0,1.0,103,921,1.200909580677845e-13,1.9832464037525985e-13,9.870110513500323e-14,0,0,0
2,5,0.0,0.0,0,0,2.4973742220869735,0.048132234292251365,0.0,0,0,0
2,10,0.9541015625,0.8058252427184466,83,894,0.05822034339421852,0.0008020852656152287,0.0,0,0,0
2,20,1.0,1.0,103,921,1.6810662878671123e-05,1.4356333582152622e-07,0.0,0,0,0
2,40,1.0,1.0,103,921,1.489263333024164e-13,1.681953775095948e-13,8.850240322816513e-14,0,0,0
2,80,1.0,1.0,103,921,1.489263333024164e-13,1.681953775095948e-13,8.850240322816513e-14,0,0,0
3,5,0.0,0.0,0,0,3.553789929699455,0.06297149332359915,0.0,0,0,0
3,10,0.94921875,0.7572815533980582,78,894,0.09824613371550553,0.0013266595637613648,0.0,0,0,0
3,20,1.0,1.0,103,921,4.647042215748528e-05,1.3341599037884303e-06,0.0,0,0,0
3,40,1.0,1.0,103,921,2.4634391488087373e-12,3.018951353409071e-13,0.0,0,0,0
3,80,1.0,1.0,103,921,1.862842445304627e-13,2.8312565619795456e-13,1.2117831766463946e-13,0,0,0
4,5,0.0,0.0,0,0,2.0482672067904195,0.04776950426010908,0.0,0,0,0
4,10,0.9853515625,0.9223300970873787,95,914,0.04682332418645472,0.0007494038669956627,0.0,0,0,0
4,20,1.0,1.0,103,921,1.94699711008599e-05,1.74197375566763e-07,0.0,0,0,0
4,40,1.0,1.0,103,921,4.911615215186425e-13,2.681956114105014e-13,5.36005388672262e-14,0,0,0
4,80,1.0,1.0,103,921,1.1361378106534372e-13,2.7135769364474525e-13,1.6435086593115676e-13,0,0,0
5,5,0.0,0.0,0,0,1.8951247434410823,0.04687077133911547,0.0,0,0,0
5,10,0.966796875,0.8349514563106796,86,904,0.04838830629410877,0.0011476377347195378,0.0,0,0,0
