sample,iterations,resolved_fraction,certified_high_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,relative_l2_correction_error,max_bound_excess_over_error_scale,false_high,false_low,bound_violations
0,5,0.0,0.0,0,0,38.508023236845936,0.9213655776944123,0.0,0,0,0
0,10,0.0,0.0,0,0,48.16434633217683,0.29808173959050666,0.0,0,0,0
0,20,0.0,0.0,0,0,7.312240582994422,0.023015154254657083,0.0,0,0,0
0,40,0.9931640625,0.970873786407767,100,917,0.007668239638869627,1.4763593754546444e-05,0.0,0,0,0
0,80,1.0,1.0,103,921,8.21992916859863e-10,1.5443002112890093e-12,0.0,0,0,0
1,5,0.0,0.0,0,0,36.12413284336845,0.8574243222619472,0.0,0,0,0
1,10,0.0,0.0,0,0,83.89153893278333,0.2979370731529167,0.0,0,0,0
1,20,0.55859375,0.1262135922330097,13,559,0.7418734336857481,0.010203355916841253,0.0,0,0,0
1,40,1.0,1.0,103,921,0.00021915046054115175,2.3275900502063864e-06,0.0,0,0,0
1,80,1.0,1.0,103,921,3.9425323783363655e-11,5.5749677871611e-13,0.0,0,0,0
2,5,0.0,0.0,0,0,175.42715259956535,0.5170427975613714,0.0,0,0,0
2,10,0.0,0.0,0,0,28.044130514657724,0.2752107899611294,0.0,0,0,0
2,20,0.0,0.0,0,0,7.471687080610977,0.007310074616270827,0.0,0,0,0
2,40,1.0,1.0,103,921,0.002538802326115013,1.505913192440167e-05,0.0,0,0,0
2,80,1.0,1.0,103,921,2.2607553096685164e-09,8.113259253645938e-12,0.0,0,0,0
3,5,0.0,0.0,0,0,32.936171439368806,0.9426646613117999,0.0,0,0,0
3,10,0.0,0.0,0,0,74.44030346328428,0.1752587816085477,0.0,0,0,0
3,20,0.0,0.0,0,0,1.5835429605370426,0.020566640324772588,0.0,0,0,0
3,40,0.9970703125,0.9902912621359223,102,919,0.007955821970061044,4.8028243945839294e-06,0.0,0,0,0
3,80,1.0,1.0,103,921,5.640602306017923e-09,2.2314943434306665e-11,0.0,0,0,0
4,5,0.0,0.0,0,0,12.050374958822612,0.41034140862729157,0.0,0,0,0
4,10,0.0,0.0,0,0,3.3455427933086277,0.15222800685175608,0.0,0,0,0
4,20,0.9609375,0.8252427184466019,85,899,0.1171911746274124,0.0006213314449566625,0.0,0,0,0
4,40,1.0,1.0,103,921,1.196973183614048e-05,1.3008782722360788e-07,0.0,0,0,0
4,80,1.0,1.0,103,921,8.743407631195971e-12,1.7044065912039042e-12,0.0,0,0,0
5,5,0.0,0.0,0,0,32.71945997294671,0.7773280194556197,0.0,0,0,0
5,10,0.0,0.0,0,0,25.292354911954078,0.18736682752933698,0.0,0,0,0
5,20,0.0634765625,0.11650485436893204,12,53,1.3570750278973291,0.002945863282660357,0.0,0,0,0
5,40,0.998046875,0.9902912621359223,102,920,0.0009116414785156656,3.4683104992640456e-06,0.0,0,0,0
5,80,1.0,1.0,103,921,8.59030387905845e-12,1.3387272044165866e-12,0.0,0,0,0
6,5,0.0,0.0,0,0,55.46422868178891,0.9766951083339404,0.0,0,0,0
6,10,0.0,0.0,0,0,6.372227681814713,0.1167826720886532,0.0,0,0,0
6,20,0.98828125,0.9320388349514563,96,916,0.027366710787648962,0.00015875455195144965,0.0,0,0,0
6,40,1.0,1.0,103,921,1.812204023384981e-08,1.4491391843220065e-10,0.0,0,0,0
6,80,1.0,1.0,103,921,3.810295507327202e-12,7.597911650072296e-13,0.0,0,0,0
7,5,0.0,0.0,0,0,38.81410109138507,0.848724640066489,0.0,0,0,0
7,10,0.0,0.0,0,0,6.019974270067528,0.18299277124428612,0.0,0,0,0
7,20,0.912109375,0.6116504854368932,63,871,0.12656030741915608,0.0018709401705871709,0.0,0,0,0
7,40,1.0,1.0,103,921,2.2412131622824478e-05,3.872589734399263e-07,0.0,0,0,0
7,80,1.0,1.0,103,921,6.1547714949175245e-12,1.2313481052707623e-12,0.0,0,0,0
8,5,0.0,0.0,0,0,123.97410900128597,0.8377971090161075,0.0,0,0,0
8,10,0.0,0.0,0,0,45.17986151581367,0.212676869763012,0.0,0,0,0
8,20,0.0361328125,0.009708737864077669,1,36,1.0295713116324046,0.002539424918530099,0.0,0,0,0
8,40,1.0,1.0,103,921,1.172713642548442e-08,1.4468664199672908e-10,0.0,0,0,0
8,80,1.0,1.0,103,921,6.96199632618863e-12,3.4094578597912334e-12,1.4455348909927766e-12,0,0,0
9,5,0.0,0.0,0,0,77.86810236604502,0.867496582305527,0.0,0,0,0
9,10,0.0,0.0,0,0,16.16556532377457,0.18324339721443128,0.0,0,0,0
9,20,0.892578125,0.6116504854368932,63,851,0.17763440057434396,0.003522214137887114,0.0,0,0,0
9,40,1.0,1.0,103,921,2.995397277902248e-06,5.2281156795384425e-08,0.0,0,0,0
9,80,1.0,1.0,103,921,6.892344345808545e-12,7.344896233504147e-13,0.0,0,0,0
10,5,0.0,0.0,0,0,27.978041593760285,1.0295061180812313,0.0,0,0,0
10,10,0.0,0.0,0,0,9.607857142205752,0.18948503514557524,0.0,0,0,0
10,20,0.0,0.0,0,0,2.4945066445803614,0.005775189058033786,0.0,0,0,0
10,40,0.998046875,0.9902912621359223,102,920,0.00015876190675949257,1.8212368447028767e-06,0.0,0,0,0
10,80,1.0,1.0,103,921,7.648289572614627e-12,9.12187385739903e-13,0.0,0,0,0
11,5,0.0,0.0,0,0,50.32971865424955,0.7138405167794606,0.0,0,0,0
11,10,0.0,0.0,0,0,147.58245210926563,0.306277497033966,0.0,0,0,0
11,20,0.0771484375,0.009708737864077669,1,78,1.1596818091285228,0.014524667844338004,0.0,0,0,0
11,40,0.998046875,0.9902912621359223,102,920,0.00031618299506818006,3.070343957767675e-06,0.0,0,0,0
11,80,1.0,1.0,103,921,1.0735474854061554e-11,8.180440492042362e-13,0.0,0,0,0
12,5,0.0,0.0,0,0,31.992519149363797,0.8216880203915978,0.0,0,0,0
12,10,0.0,0.0,0,0,83.66482140588154,0.31868378195949315,0.0,0,0,0
12,20,0.4033203125,0.019417475728155338,2,411,0.8145416374944526,0.013409304800702744,0.0,0,0,0
12,40,1.0,1.0,103,921,0.001636537054908781,3.823784708042732e-06,0.0,0,0,0
12,80,1.0,1.0,103,921,1.176260189536501e-10,1.507235645678821e-12,0.0,0,0,0
13,5,0.0,0.0,0,0,85.64451285477014,1.3750657034779352,0.0,0,0,0
13,10,0.0,0.0,0,0,113.73150015776794,0.6267233523090168,0.0,0,0,0
13,20,0.0048828125,0.04854368932038835,5,0,1.753761790521229,0.02909112536985418,0.0,0,0,0
13,40,1.0,1.0,103,921,0.0002053869535956118,5.2009296800104606e-06,0.0,0,0,0
13,80,1.0,1.0,103,921,5.963250349638318e-11,3.564661777190697e-12,0.0,0,0,0
14,5,0.0,0.0,0,0,49.17809998054544,0.914864992026124,0.0,0,0,0
14,10,0.0,0.0,0,0,50.064371290563656,0.1979123436436224,0.0,0,0,0
14,20,0.0,0.0,0,0,3.838632668952869,0.0027030731548247896,0.0,0,0,0
14,40,1.0,1.0,103,921,0.001252523225237535,1.2785780304429733e-06,0.0,0,0,0
14,80,1.0,1.0,103,921,6.0563012720571946e-12,8.857842731590037e-14,0.0,0,0,0
15,5,0.0,0.0,0,0,45.92132391914936,0.6860313406667605,0.0,0,0,0
15,10,0.0,0.0,0,0,100.49865812995664,0.253744152138942,0.0,0,0,0
15,20,0.0,0.0,0,0,4.113871162010468,0.011609217893687584,0.0,0,0,0
15,40,1.0,1.0,103,921,0.0002200347929163845,3.1084075901927508e-06,0.0,0,0,0
15,80,1.0,1.0,103,921,1.0905945666540924e-10,3.083489902446314e-12,0.0,0,0,0
16,5,0.0,0.0,0,0,39.80378201678894,0.9776715516478087,0.0,0,0,0
16,10,0.0,0.0,0,0,75.0715855253291,0.5216017854116288,0.0,0,0,0
16,20,0.0,0.0,0,0,2.536731954449228,0.010925249611939285,0.0,0,0,0
16,40,0.998046875,0.9902912621359223,102,920,0.006234500210930226,8.222769822334307e-06,0.0,0,0,0
16,80,1.0,1.0,103,921,5.261124961136414e-09,3.1707613120567815e-12,0.0,0,0,0
17,5,0.0,0.0,0,0,32.145813177317045,0.5320630713876647,0.0,0,0,0
17,10,0.0,0.0,0,0,4.056941745853056,0.08478399438143856,0.0,0,0,0
17,20,0.962890625,0.7864077669902912,81,905,0.0986981606071242,0.0015613114856684006,0.0,0,0,0
17,40,1.0,1.0,103,921,1.027443136553021e-05,1.4980941942052608e-08,0.0,0,0,0
17,80,1.0,1.0,103,921,5.36118082244079e-12,1.1954278899863136e-12,0.0,0,0,0
18,5,0.0,0.0,0,0,112.9401951861906,0.8614224491176362,0.0,0,0,0
18,10,0.0,0.0,0,0,19.05299681188633,0.27411915080424687,0.0,0,0,0
18,20,0.9853515625,0.912621359223301,94,915,0.021363715839250556,0.00044694165414022285,0.0,0,0,0
18,40,1.0,1.0,103,921,5.8218722650178074e-08,3.937139816381749e-10,0.0,0,0,0
18,80,1.0,1.0,103,921,9.604116354223486e-12,3.2249145553092632e-12,2.5976667989766496e-14,0,0,0
19,5,0.0,0.0,0,0,57.944450247127314,0.8574033156151136,0.0,0,0,0
19,10,0.0,0.0,0,0,12.66375147772787,0.16294271177106606,0.0,0,0,0
19,20,0.9140625,0.7378640776699029,76,860,0.1517291806846072,0.002321513169811523,0.0,0,0,0
19,40,1.0,1.0,103,921,1.3482853323673519e-06,2.13500458370363e-08,0.0,0,0,0
19,80,1.0,1.0,103,921,5.845633915501466e-12,7.510207316437606e-13,0.0,0,0,0
20,5,0.0,0.0,0,0,28.422914776865852,1.090709761289725,0.0,0,0,0
20,10,0.0,0.0,0,0,5.320629670949277,0.24483392501215206,0.0,0,0,0
20,20,0.845703125,0.4174757281553398,43,823,0.17919898153177394,0.0022463149891315316,0.0,0,0,0
20,40,1.0,1.0,103,921,6.065612419505994e-05,8.344275260767423e-07,0.0,0,0,0
20,80,1.0,1.0,103,921,6.378664506547616e-12,2.0844621850061585e-12,1.961859756891334e-13,0,0,0
21,5,0.0,0.0,0,0,75.5238892062382,0.5914486298585423,0.0,0,0,0
21,10,0.0,0.0,0,0,109.84119288092629,0.19274603681986052,0.0,0,0,0
21,20,0.27734375,0.20388349514563106,21,263,0.9980529002668165,0.008201608821898845,0.0,0,0,0
21,40,1.0,1.0,103,921,0.00028927269614374115,3.1078475341492463e-06,0.0,0,0,0
21,80,1.0,1.0,103,921,1.9064574839374057e-11,1.543645981723421e-13,0.0,0,0,0
22,5,0.0,0.0,0,0,115.68295822850722,0.276546413708168,0.0,0,0,0
22,10,0.0,0.0,0,0,25.829239945638456,0.18676645834057554,0.0,0,0,0
22,20,0.66796875,0.1650485436893204,17,667,0.8370594097527525,0.00908055271300711,0.0,0,0,0
22,40,1.0,1.0,103,921,0.0030727114445570263,3.944664351487465e-06,0.0,0,0,0
22,80,1.0,1.0,103,921,7.4159238233203834e-09,7.704942590733942e-12,0.0,0,0,0
23,5,0.0,0.0,0,0,23.856708789810742,1.069137140719648,0.0,0,0,0
23,10,0.0,0.0,0,0,4.342761481499625,0.1945472118228928,0.0,0,0,0
