dataset,method,n_fields,n_unique_coefficients,all_cells_resolved_ci95_high,all_cells_resolved_ci95_low,all_cells_resolved_mean,auroc_ci95_high,auroc_ci95_low,auroc_mean,bound_violations_beyond_numeric_tolerance_total,certified_top10_recall_ci95_high,certified_top10_recall_ci95_low,certified_top10_recall_mean,corrected_prediction_relative_l2_ci95_high,corrected_prediction_relative_l2_ci95_low,corrected_prediction_relative_l2_mean,error_capture_top10_ci95_high,error_capture_top10_ci95_low,error_capture_top10_mean,false_high_count_total,false_low_count_total,magnitude_violations_beyond_numeric_tolerance_total,max_positive_bound_excess_over_error_scale,mean_bound_over_mean_abs_error_ci95_high,mean_bound_over_mean_abs_error_ci95_low,mean_bound_over_mean_abs_error_mean,original_prediction_relative_l2_ci95_high,original_prediction_relative_l2_ci95_low,original_prediction_relative_l2_mean,raw_float64_bound_exceedance_count_total,relative_defect_l2_ci95_high,relative_defect_l2_ci95_low,relative_defect_l2_mean,relative_l2_correction_error_ci95_high,relative_l2_correction_error_ci95_low,relative_l2_correction_error_mean,resolved_fraction_ci95_high,resolved_fraction_ci95_low,resolved_fraction_mean,spearman_ci95_high,spearman_ci95_low,spearman_mean,top10_overlap_ci95_high,top10_overlap_ci95_low,top10_overlap_mean
test_b,poisson_pcg20,200,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7386407766990292,0.7223300970873785,0.7304854368932038,0.00047818382261182395,0.0004669936114601798,0.0004725887170360019,0.2642575547998422,0.26418466233213883,0.26422110856599046,0.0,0.0,0.0,0.0,0.04525791898363214,0.04445963810580533,0.04485877854471874,0.7481128140314307,0.7480798079745758,0.7480963110030032,0.0,0.00011754072269355324,0.00011636709777621747,0.00011695391023488535,0.0006391784647369761,0.0006242482748352633,0.0006317133697861196,0.94671875,0.94453125,0.945625,0.999994585508905,0.9999943852371075,0.9999944853730063,1.0,1.0,1.0
test_b,poisson_pcg40,200,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.2583142273989398e-07,1.2357184483232468e-07,1.2470163378610933e-07,0.2642575547998422,0.26418466233213883,0.26422110856599046,0.0,0.0,0.0,0.0,7.883723110443972e-05,7.75757804307483e-05,7.820650576759401e-05,0.7481128140314307,0.7480798079745758,0.7480963110030032,0.0,1.7027293923677278e-07,1.6632786301585244e-07,1.6830040112631261e-07,1.682075291582835e-07,1.6517977561649785e-07,1.6669365238739066e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_b,prediction_magnitude,200,2,,,,0.760612145936772,0.7594477298841487,0.7600299379104604,,,,,,,,0.21141689796300958,0.21135376470477282,0.21138533133389117,,,,,,,,0.7481128140314307,0.7480798079745758,0.7480963110030032,,,,,,,,,,,0.6801932516674415,0.6795376947956154,0.6798654732315286,0.30194174757281544,0.2992233009708737,0.30058252427184456
test_b,raw_residual,200,2,,,,0.606069068024414,0.6052322823440117,0.6056506751842129,,,,,,,,0.14286470598168882,0.14169893369736528,0.14228181983952704,,,,,,,,0.7481128140314307,0.7480798079745758,0.7480963110030032,,,,,,,,,,,0.10499609347060294,0.10346376544506829,0.10422992945783563,0.22524271844660188,0.21980582524271838,0.22252427184466012
test_cs,poisson_pcg20,200,200,0.0,0.0,0.0,0.9999955725625376,0.9999903018036537,0.999993148013451,0.0,0.4570873786407767,0.374125,0.41567961165048545,0.0005721128045142793,0.00041208518097579026,0.00048775799892608525,0.3249099265757277,0.3113390022697518,0.318058024300625,0.0,0.0,0.0,0.0,0.5116906069725771,0.3982258159220642,0.4522327927085885,0.17514520645448237,0.15143905860261292,0.1629333856213473,0.0,0.0005393997484654812,0.0004371284713250033,0.00048708084463027694,0.0032088039112665723,0.002452947997048508,0.002810688556896528,0.7676505126953125,0.6957073974609375,0.732958984375,0.9999686008620515,0.9999428379893917,0.9999569377078714,0.9982038834951458,0.9968932038834951,0.9975728155339807
test_cs,poisson_pcg40,200,200,0.995,0.95,0.975,1.0,1.0,1.0,0.0,0.9999514563106797,0.9995145631067962,0.999757281553398,1.2011030038766783e-07,6.560572357933519e-08,9.046257433047702e-08,0.3249120092892211,0.31134103829514354,0.3180605156642178,0.0,0.0,0.0,0.0,0.00014664579416975683,6.694970491627021e-05,0.00010022823009712503,0.17514520645448237,0.15143905860261292,0.1629333856213473,0.0,1.509628388684194e-07,8.130319431693408e-08,1.1259525001931106e-07,6.192356204114252e-07,3.6313936588053266e-07,4.795726416362234e-07,0.999990234375,0.99990234375,0.999951171875,0.9999999992735679,0.9999999981001002,0.999999998770653,1.0,1.0,1.0
test_cs,prediction_magnitude,200,200,,,,0.757873479386062,0.719936451777827,0.7392631479080357,,,,,,,,0.1625010773950069,0.14616002430321778,0.15432520510258635,,,,,,,,0.17514520645448237,0.15143905860261292,0.1629333856213473,,,,,,,,,,,0.5132446875812001,0.45982861639093947,0.48659039103990503,0.21383495145631065,0.16558131067961163,0.18961165048543688
test_cs,raw_residual,200,200,,,,0.706595660320673,0.6785374711425951,0.6926705354036874,,,,,,,,0.16296413189886724,0.15255742629396904,0.1577007490681507,,,,,,,,0.17514520645448237,0.15143905860261292,0.1629333856213473,,,,,,,,,,,0.2780358596166784,0.23745368215541401,0.2582605979767184,0.25990533980582514,0.23165048543689315,0.24558252427184463
test_id,poisson_pcg20,200,200,0.0,0.0,0.0,0.999998735017868,0.9999964158839589,0.9999976808660912,0.0,0.6492730582524272,0.5690254854368932,0.6093203883495145,0.00023203088899675692,0.0001574398013715032,0.00019353856844870308,0.3335843302777386,0.32005143100397576,0.3265066365908492,0.0,0.0,0.0,0.0,0.372083454440441,0.26325707710650437,0.3162962781567194,0.11263260811489556,0.09428218716547589,0.10323321434007082,0.0,0.0003606896132857238,0.00026661149902003795,0.00031272318819495126,0.0019175270940301637,0.0013690894072900899,0.0016333746259227097,0.861435546875,0.7896329345703126,0.826767578125,0.999986186497244,0.9999728088636476,0.9999800699386668,0.9992718446601941,0.9983980582524272,0.9988349514563107
test_id,poisson_pcg40,200,200,1.0,0.985,0.995,1.0,1.0,1.0,0.0,1.0,0.9998543689320388,0.9999514563106797,5.6557254168074627e-08,2.0267400457367795e-08,3.5132932897034373e-08,0.3335851066787762,0.3200522762134541,0.32650758392140106,0.0,0.0,0.0,1.5394092486006462e-14,7.696765300035452e-05,3.21670397812272e-05,4.9878294983386404e-05,0.11263260811489556,0.09428218716547589,0.10323321434007082,6.0,8.358777554466198e-08,3.2094683712023895e-08,5.183283669271564e-08,4.459429568227061e-07,1.7056417821525167e-07,2.833904586931411e-07,1.0,0.999970703125,0.999990234375,0.9999999996088441,0.9999999981001001,0.9999999989382913,1.0,1.0,1.0
