sample,iterations,iterations_executed,cg_info,bound,a_min,actual_contrast,resolved_fraction,all_cells_resolved,certified_top10_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,flux_to_baseline_bound_ratio,corrected_prediction_relative_l2,relative_l2_correction_error,same_A_identity_relative_error,numeric_tolerance,false_high,false_low,bound_violations,raw_positive_bound_exceedances,max_positive_bound_excess_over_error_scale,positive_flux_excess_over_baseline_bound,baseline_flags_lost_by_flux
0,20,20,20,baseline,1.0,100.0,0.2841796875,False,0.0,0,291,0.85670536724879,0.32657662765580897,0.00018875125652442678,0.004705994515611195,6.003132459740468e-14,1.553186144924003e-13,0,0,0,0,0.0,0.0,0
0,20,20,20,equilibrated_flux,1.0,100.0,0.7412109375,False,0.1553398058252427,16,743,0.27977994973074116,0.32657662765580897,0.00018875125652442678,0.004705994515611195,6.003132459740468e-14,1.553186144924003e-13,0,0,0,0,0.0,0.0,0
0,40,40,40,baseline,1.0,100.0,0.9892578125,False,0.941747572815534,97,916,0.012376505155365173,0.3223087033747739,1.923673236740086e-06,4.79615122496585e-05,6.003132459740468e-14,1.553186144924003e-13,0,0,0,0,0.0,0.0,0
0,40,40,40,equilibrated_flux,1.0,100.0,0.994140625,False,0.970873786407767,100,918,0.003989055328936954,0.3223087033747739,1.923673236740086e-06,4.79615122496585e-05,6.003132459740468e-14,1.553186144924003e-13,0,0,0,0,0.0,0.0,0
1,20,20,20,baseline,1.0,100.0,0.4482421875,False,0.0,0,459,0.8108468487709022,0.33026418994407397,0.00026671162558192474,0.006273350739375347,2.0884745699055275e-14,1.8021885800218574e-13,0,0,0,0,0.0,0.0,0
1,20,20,20,equilibrated_flux,1.0,100.0,0.7685546875,False,0.2912621359223301,30,757,0.2677936776780271,0.33026418994407397,0.00026671162558192474,0.006273350739375347,2.0884745699055275e-14,1.8021885800218574e-13,0,0,0,0,0.0,0.0,0
1,40,40,40,baseline,1.0,100.0,0.9892578125,False,0.941747572815534,97,916,0.011122487704329198,0.3383073502600614,2.125961962452801e-06,5.000496330050312e-05,2.0884745699055275e-14,1.8021885800218574e-13,0,0,0,0,0.0,0.0,0
1,40,40,40,equilibrated_flux,1.0,100.0,0.994140625,False,0.9611650485436893,99,919,0.003762819343551724,0.3383073502600614,2.125961962452801e-06,5.000496330050312e-05,2.0884745699055275e-14,1.8021885800218574e-13,0,0,0,0,0.0,0.0,0
2,20,20,20,baseline,1.0,100.0,0.1142578125,False,0.02912621359223301,3,114,0.9637011959261834,0.3250400631480135,0.0005136272766433198,0.005662850917888163,2.7548901757960844e-14,1.5706863441029445e-13,0,0,0,0,0.0,0.0,0
2,20,20,20,equilibrated_flux,1.0,100.0,0.7275390625,False,0.20388349514563106,21,724,0.31324149757966274,0.3250400631480135,0.0005136272766433198,0.005662850917888163,2.7548901757960844e-14,1.5706863441029445e-13,0,0,0,0,0.0,0.0,0
2,40,40,40,baseline,1.0,100.0,0.990234375,False,0.9514563106796117,98,916,0.016997582038755264,0.2990990054348216,5.7780695505741686e-06,6.370445641426882e-05,2.7548901757960844e-14,1.5706863441029445e-13,0,0,0,0,0.0,0.0,0
2,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,0.0050839598825884865,0.2990990054348216,5.7780695505741686e-06,6.370445641426882e-05,2.7548901757960844e-14,1.5706863441029445e-13,0,0,0,0,0.0,0.0,0
3,20,20,20,baseline,1.0,100.0,0.3330078125,False,0.0,0,341,0.9855493792115793,0.34216702897624574,0.00033160527975863077,0.006000067639914473,2.6152859883964904e-14,1.7170476390071638e-13,0,0,0,0,0.0,0.0,0
3,20,20,20,equilibrated_flux,1.0,100.0,0.814453125,False,0.22330097087378642,23,811,0.3372225029942094,0.34216702897624574,0.00033160527975863077,0.006000067639914473,2.6152859883964904e-14,1.7170476390071638e-13,0,0,0,0,0.0,0.0,0
3,40,40,40,baseline,1.0,100.0,0.9912109375,False,0.9514563106796117,98,917,0.01158323443192412,0.34472350851921585,3.148103025632448e-06,5.6961792360363444e-05,2.6152859883964904e-14,1.7170476390071638e-13,0,0,0,0,0.0,0.0,0
3,40,40,40,equilibrated_flux,1.0,100.0,0.998046875,False,0.9902912621359223,102,920,0.003993013213373468,0.34472350851921585,3.148103025632448e-06,5.6961792360363444e-05,2.6152859883964904e-14,1.7170476390071638e-13,0,0,0,0,0.0,0.0,0
4,20,20,20,baseline,1.0,100.0,0.3271484375,False,0.0,0,335,0.8942237623765532,0.3125519625871026,0.0001868316178226479,0.004690293126032944,2.2585355034382107e-14,1.3830472349105252e-13,0,0,0,0,0.0,0.0,0
4,20,20,20,equilibrated_flux,1.0,100.0,0.8046875,False,0.1553398058252427,16,808,0.2794913919228146,0.3125519625871026,0.0001868316178226479,0.004690293126032944,2.2585355034382107e-14,1.3830472349105252e-13,0,0,0,0,0.0,0.0,0
4,40,40,40,baseline,1.0,100.0,0.994140625,False,0.9611650485436893,99,919,0.011990209410161217,0.31720783470998026,1.790153407604911e-06,4.4940702864412905e-05,2.2585355034382107e-14,1.3830472349105252e-13,0,0,0,0,0.0,0.0,0
4,40,40,40,equilibrated_flux,1.0,100.0,0.9970703125,False,0.9805825242718447,101,920,0.0038033883647164693,0.31720783470998026,1.790153407604911e-06,4.4940702864412905e-05,2.2585355034382107e-14,1.3830472349105252e-13,0,0,0,0,0.0,0.0,0
5,20,20,20,baseline,1.0,100.0,0.4443359375,False,0.009708737864077669,1,454,0.6704263554021974,0.3236686688253095,0.00013271892081095771,0.004248294575131392,4.782495033982035e-14,1.270952314797286e-13,0,0,0,0,0.0,0.0,0
5,20,20,20,equilibrated_flux,1.0,100.0,0.7919921875,False,0.3300970873786408,34,777,0.21699600599843302,0.3236686688253095,0.00013271892081095771,0.004248294575131392,4.782495033982035e-14,1.270952314797286e-13,0,0,0,0,0.0,0.0,0
5,40,40,40,baseline,1.0,100.0,0.98828125,False,0.941747572815534,97,915,0.01067069397425871,0.3425644851631843,1.463209992217708e-06,4.6836932023279e-05,4.782495033982035e-14,1.270952314797286e-13,0,0,0,0,0.0,0.0,0
5,40,40,40,equilibrated_flux,1.0,100.0,0.99609375,False,0.9805825242718447,101,919,0.003655400787625828,0.3425644851631843,1.463209992217708e-06,4.6836932023279e-05,4.782495033982035e-14,1.270952314797286e-13,0,0,0,0,0.0,0.0,0
6,20,20,20,baseline,1.0,100.0,0.34375,False,0.0,0,352,0.8944747892093653,0.32808617488688635,0.00019212445484649874,0.0047179844819056505,3.454782953586583e-14,1.513785530670899e-13,0,0,0,0,0.0,0.0,0
6,20,20,20,equilibrated_flux,1.0,100.0,0.8408203125,False,0.21359223300970873,22,839,0.29346481212445463,0.32808617488688635,0.00019212445484649874,0.0047179844819056505,3.454782953586583e-14,1.513785530670899e-13,0,0,0,0,0.0,0.0,0
