sample,relative_l2_prediction_error,identity_relative_error,energy_relative_error,raw_energy_spearman,a_min,a_max,unique_coefficients,coefficient_sha256
0,0.04010868603826096,2.544773361922245e-14,8.634481542301589e-16,0.549882899113082,1.0,100.0,1024,0d3f9d037c461680d57fd84de1588709393df89d3b82c626ce67085df2f0173e
1,0.042515018952771544,5.967831694360558e-14,1.0310817932316737e-15,0.48540513688219716,1.0,100.0,1024,3dfbb9b4e70ac98278f91d085e262390463940dd8114553587afb85810823b30
2,0.09070118286547792,1.2364812244509845e-14,1.4884315844679306e-15,0.4462075763536227,1.0,100.0,1024,ccda49d0e8389230175e6e89ecda79901dba92088f23d31ca05c4bea40d6f360
3,0.05526692358477423,3.764893310629686e-14,7.391861028508932e-16,0.5327126211465559,1.0,100.0,1024,ee00c370983b1f304deec11917fd6fafcb8631b7b623263d7ef841efa3de1ecc
4,0.03983367623350898,3.5476136451897814e-14,6.256997659446983e-16,0.5849739043165725,1.0,100.0,1024,66de48f179651cfd5404c0cb47f95eb92796a13276be315b6bde9774d3922297
5,0.031240517450899646,2.6200472006473113e-14,1.0038347737093888e-15,0.5855398062549173,1.0,100.0,1024,cd24993d76215971cf17c4630417cc85c51c2df9437092b2d7e795d9477ffd19
6,0.04072172250318611,3.077785814231223e-14,1.007666171282116e-15,0.4896604767184035,1.0,100.0,1024,6e3aca2d4864d4ac9f13656fca32e8c323e8a0cd4ef1278ff8160f8e340491da
7,0.03230329816010057,3.235397185237518e-14,4.0150077751184324e-16,0.655690635952364,1.0,100.0,1024,ea4d561484e95fc9f01d5b8af73d40716d11d46f7dbe68a8b9802093701acc52
8,0.03484434545605581,4.2650302775752734e-14,1.1012380375658958e-15,0.5212442779486446,1.0,100.0,1024,b372e4ff38eea58fb33f9966c327ebd2864fa5f2fe241c05204095147c7be143
9,0.040988286936519104,1.047865684082373e-13,1.077548295585508e-15,0.5405091843394606,1.0,100.0,1024,b177da052159e2b939f06c6fb1b159ae49454b4d748ff0ecd0d96de41ee81a31
10,0.047817472314906816,2.465516152749674e-14,1.3251829775546444e-15,0.47920680298261925,1.0,100.0,1024,4a39ee0a79586e9e794b88ffc4729f6011bf54e64a3b9e1d45e2deb2e611ca22
11,0.06031892167156028,5.739904773693966e-14,1.6386063884403327e-15,0.6035520416100422,1.0,100.0,1024,dcb1c81a578b0c3d60c7c419dd20fa9d2f9268566811060645826be6ae2a8e22
12,0.03797572443231888,1.483283408612323e-14,4.4138068795901155e-16,0.5785918389242543,1.0,100.0,1024,313a993546e14eaf88a039e637c1970843c7b61501bd7c3f8d970079d055dd08
13,0.025622158532497972,2.9296880378327087e-14,3.980127800315682e-16,0.5434469547957943,1.0,100.0,1024,189dc6558f7d2dc18e9ea0d230421524f59419d59b9c1b85adc427c2b59cc79e
14,0.04629426422699137,1.6541225807702645e-14,1.4391495419803182e-15,0.39808542620341886,1.0,100.0,1024,f097a86e261194bcbc6aade2c6d3e3c0e77c95e5724f3bbccff78e08d4692d15
15,0.03885762588696533,2.7853599381127066e-14,4.0068237779751337e-16,0.4039067193870252,1.0,100.0,1024,a233a10f134991c0d042f25e348ae270174b75b98ec6930581c58791f618144c
16,0.034348072286058344,2.276769267304635e-14,1.0945532140884123e-15,0.5435487335491024,1.0,100.0,1024,89376d3b0cbdd3033b5dec8265ef47526bd49afac2c1fb709f4758318bc702ef
17,0.05815776596017297,1.1633530983499703e-14,1.0983299823885924e-15,0.033871906515985976,1.0,100.0,1024,5a098032f4144e1e6490bf66678c7683ddec9dfa000cef89968d0a70bad8f6a8
18,0.031366254548724576,2.172451534689287e-13,6.353115112685525e-16,0.6044120927508762,1.0,100.0,1024,18d160540057a5866d234b3991ba2ddd801b2e127cfeb02155c5909e382c5a9e
19,0.03287840072930077,1.7385899641375712e-14,3.404705344480008e-16,0.5696149350010729,1.0,100.0,1024,2335609bca1ca3bf783c4372b4ca1417033b59538c18236c7a13bb295d28dc0f
20,0.032179687266651526,3.5458983168015364e-14,2.0673814632081288e-16,0.4239556920999928,1.0,100.0,1024,aef984e60c761c33d60cf33ae27bf275ba908c22a9aac1ec16eaf0ad04fcd5c1
21,0.04649349056377393,5.271899576982579e-14,7.497529637380014e-16,0.48522951907946493,1.0,100.0,1024,2248ac8b63dd3bb90e7ee59ff472c1d93c61bf17add69d06d0c45b94ad543c91
22,0.03851104382168663,2.4727108516911924e-14,9.74983599936103e-16,0.5961273782275945,1.0,100.0,1024,953390e692c38320566fc079492fda89452142c314ad2e6cb39c6ac03da82c40
23,0.027251862849154776,4.099553923123529e-14,6.64940054045755e-16,0.39554745055789997,1.0,100.0,1024,3b8c73ea92d425c9c9c995f64aa84ba187aa39e0b92c77b884e98228c3db980f
24,0.027774114994432515,2.457685534799651e-14,9.570138763114482e-16,0.5696552128781918,1.0,100.0,1024,393f3116a04605ed297270b3e55d0d55554be4327549666323826c3d1eda57ad
25,0.0242601233824717,8.316767518637013e-14,4.873917223553853e-16,0.5540319898433588,1.0,100.0,1024,47725f863dafc4141e8dac7ab6fce744fba8cb5059969478b7e4c8cb67987152
26,0.03439312334511306,2.77402202104458e-14,3.101671016090605e-16,0.46886495511765963,1.0,100.0,1024,0b62959472441ec9c1b9654dc85937087edace1971a9bd88691f0ca90add870d
27,0.07348361771509979,1.7701384078400935e-14,2.3292135771273184e-15,0.45296467080323294,1.0,100.0,1024,9457eeda13bf33161597de1f4217364b5ada357685873e12cbec6697608b4877
28,0.041977180827343974,4.1443641309738875e-14,9.012821623764357e-16,0.6679333336313568,1.0,100.0,1024,3dcfeb155bfc9bbd80d55ebe47e175f54eced8bd1d1bbf312607cc411468f2fc
29,0.029732831769570006,3.524395082604629e-13,7.423868352365439e-16,0.52582124848008,1.0,100.0,1024,31a19876138f7457145588a10728bb4549499ac41bd268ec825651b37658e54d
30,0.05613347390286192,2.1775171169008017e-14,1.3522760352897647e-15,0.3969137132537014,1.0,100.0,1024,22d5c6a0fead0823b9c9284b0d5cf37fafe4ec58d2e4039070e3dd536356e035
31,0.05118411783160781,2.0731627187774957e-14,3.3949168131814714e-16,0.3821097829196767,1.0,100.0,1024,4146876aecb5755f6f55015e2873281debbc9bde191c32248dace9f760e7d758
32,0.037741715022333595,3.952360818989316e-14,5.454419479236031e-16,0.6253335218332021,1.0,100.0,1024,1edc98742599d86462bec65c18fc73040e10eea3c8e20034e5f8cbb244227144
33,0.03358818339126048,4.6624438534598133e-14,5.981065280015183e-16,0.5876836420856877,1.0,100.0,1024,20d9c16732c9fd35f8a33838824840c075b1de5af80790cc507cbf6854211ddf
34,0.048870084159761684,2.27998679043771e-14,4.397073992060527e-16,0.4987151424254345,1.0,100.0,1024,e89b0dec70dc8686e01b7b890d04950ea1cd3dafd6f12ba440669fc7a50ed675
35,0.03172634191408339,2.980077441815761e-14,5.081261154392421e-16,0.557647063425363,1.0,100.0,1024,de7ba549b71ec2adaa7c07ab78c466c9b8685da484fdf76e4bfd1c7ac37cabc6
36,0.06182196691687485,1.158699615156724e-14,2.3248340732367843e-15,0.5240856452506973,1.0,100.0,1024,ab63fb100a2c1ea887a66af52d91b6220488df212c61bc015b9caf188d089c7e
37,0.08925817011243005,3.117372295523307e-14,2.6488613009122206e-15,0.13328564212145053,1.0,100.0,1024,7bc7d482bda42bbc4fd263d390f931cbbb4b4d2b2f4411e316c96e94dd9509fb
38,0.03701802319785732,2.8454721886580536e-14,9.465924396742231e-16,0.5341607807023817,1.0,100.0,1024,8cbbc5b69e927f21e211df90f2d4880c63ac2ed07360f02e815ab0a1403a73c9
39,0.0494475694297069,3.0794668002085154e-14,7.927986439098782e-16,0.5295829496280666,1.0,100.0,1024,1d8fd6f6371aab526a2efa1d19c51e865f987c29a68ffce1f3756db63ec81207
40,0.04173470541236958,4.180817153834481e-14,1.046445488632206e-15,0.6026333282669337,1.0,100.0,1024,ccb5e8e16b9bf7cee6321d84c917ce908616bdebc38b5261618eb232f2716516
41,0.03437310931391264,3.4558024174694335e-14,2.0592105498451282e-16,0.4868252896788498,1.0,100.0,1024,3b167657376557bb65216b6035bbe4fba42dc169bc6dab4abeb02762a2a2bec1
42,0.042202713775304566,2.18241866411664e-14,4.518141611195011e-16,0.5286352125205637,1.0,100.0,1024,9104d9a00893ee45aa14ac85d56006abbd3ac1d860a65d2164b5637cd27ec4c6
43,0.06107075929081688,1.2162108629687587e-14,8.257188526755207e-16,0.46916624570846144,1.0,100.0,1024,08d313b2dbfd8f12b2d7a684b6a7d8eb5550c1bafdb2357ce1e058e18daedb2a
44,0.05593526936357481,1.156982365600049e-14,6.814399629535308e-16,0.6142167048136756,1.0,100.0,1024,8518f29052db10b8eca4905b1d6bc6f6fa3899b740a94b71dc6d256d9a739963
45,0.03264837738345964,7.08162852140416e-14,5.887470085320203e-16,0.5973208617945782,1.0,100.0,1024,d7fbad8b4aeeb6e8f724430ed1676f07c2ddb6881e24a10da96a6f7458d8d3b5
46,0.061048666070774894,2.8386365852247533e-14,7.214021818410395e-16,0.4923050702739431,1.0,100.0,1024,c05c3ae9e66056acfcd014d9415472fef5c5b0a7e7b52dd733e84433ca0425e7
47,0.019952126975518892,2.429888759547368e-13,3.5222060576775944e-16,0.6217572509119519,1.0,100.0,1024,5372d673eb7e86fc79be0eb00b8855ce3212d43039383afbed65342b6c1993bc
48,0.02770104317222316,4.5555499893635656e-14,8.070729035326052e-16,0.5377606550854731,1.0,100.0,1024,cb0d1696be7b39886f910e8d26ed0a5552425575555a6663b24bc16dced1e986
49,0.04072112944002661,5.14784476409044e-14,9.797629693119406e-16,0.4571102523067019,1.0,100.0,1024,80da3c8579c5da406bd41d9ff4d8fb4ed429475ebe75a7c96ac0050e680b4c68
50,0.048338915169765635,5.5477786255579626e-14,6.068844058971499e-16,0.5878670159502181,1.0,100.0,1024,51b02b98d2a446ec8ddef54624da934816922f42697330b0a50eb613d7001e1f
51,0.020384321451782445,6.075168230258543e-14,3.6705905461652605e-16,0.6523297689721764,1.0,100.0,1024,8e814d37d05453cde99b7734744c0b2d8d971b2462a02f0e31dc5eceabdcae91
52,0.03851050613014319,1.5601860415242068e-14,2.716856505246682e-16,0.5496136944782204,1.0,100.0,1024,6d4b9a2216a2f4d59c00de2218ef09dc7ab51d9a8bc2cf1c28b22f29935df740
53,0.0562395948780466,2.904976993519721e-14,1.7767738627206018e-15,0.5165047430441313,1.0,100.0,1024,bde26160bc8f1ef73e436359dda085dcfd40f4f52c42ec62770f5c377dfb9a87
54,0.0286335294891047,2.9996539238498466e-14,3.0031899870251664e-16,0.5640566997174736,1.0,100.0,1024,239af0f0d098706e302fb686dd858822a769581823bf02846ab05ce3633e0ca9
55,0.07518006263620516,2.058703257094557e-14,1.0654716951662604e-15,0.3569834395787139,1.0,100.0,1024,40d3d0533c5133a47d89aa6d998d800cc5f73830cd5aef0b455c1111938b810c
56,0.03584907385326936,3.986067658629404e-14,9.85020344205378e-16,0.5463704648272655,1.0,100.0,1024,2ea39a3152e108fe14aaf45e2985eead100bcaace1d2b13a66571f80536f07f6
57,0.025757322061228907,2.9239052881667726e-13,5.708435022050869e-16,0.5923678452006294,1.0,100.0,1024,805a02e5cedcc71e9df93b96f064299d02935c9282a99d6a83a29d9e62e26e5d
58,0.11530334411160448,1.1649959095124228e-14,7.202473074508411e-15,0.3583392640011444,1.0,100.0,1024,ec4d5c8c0d77561ec743012e1a72a6bc80a817d42fd1a82bd803def41fdde697
59,0.0826079116328716,1.49953037016043e-14,2.192938704291554e-15,0.5869768905121237,1.0,100.0,1024,4eceee59c02ba7aa73d664043c543f6578633ae2b3410cbd1ddc2496d0264e8b
60,0.029458718500172412,1.7837179804334367e-13,1.0484242370291479e-15,0.5895322111258134,1.0,100.0,1024,10d1b3dfb2bde54d61f1f16fedfc831610faa5a9fd79c5e27dc30744be801d34
61,0.04473981049456374,1.575502848035756e-14,7.342548181721786e-16,0.5904732985837923,1.0,100.0,1024,893e409a5393ea6235738bb24f1e0e4b130182f24598b0aa68b84f4e1633edc1
62,0.04477981889333012,1.4123386942654176e-14,3.800898088942376e-16,0.5342115527322794,1.0,100.0,1024,fbe851f3a13384b9b68d69838bb55305c2510a7219ff01f4505423e5983c1fc7
63,0.048774801213242784,1.8323099376437657e-14,8.030833315238431e-16,0.3366420387490165,1.0,100.0,1024,18a1c50ac51f55469439e4352d8fb291909cb82d6392e4762e989820f5d73200
64,0.027114556334495877,9.429964633574908e-14,8.337048183257744e-16,0.44886540215292176,1.0,100.0,1024,e5ea281936a7ae7e22daf6ab371bbc42772e654b44805ef0fe1d5ff6bb8f019c
65,0.05046932722446828,4.854141399842355e-14,1.4672332457713665e-15,0.5848030586152635,1.0,100.0,1024,e606f6f88bf021994c47f63bb47ea8c8af7df1e17f9d67c4a982f31744096d37
66,0.03841702372718872,2.550486450119496e-14,8.306551176667513e-16,0.6383049093412487,1.0,100.0,1024,3e3e3935cc6cc3a2421c65b10c09f59c58cbce8fca672e69bf3c9ad85cb30e0a
67,0.027129834843919894,6.163682680602931e-14,3.582997861946505e-16,0.6794613225091194,1.0,100.0,1024,732e3ca2e222e96e72e173d8e4e3c3eb91e6196c004d4e948d725f7c38ead704
68,0.029691224492001043,2.4149735484045285e-14,1.048444363353667e-15,0.45932843010156643,1.0,100.0,1024,a8496268254eca064af0cd6c4556820d407aaeac00626e560107287953e9c216
69,0.050783296930974386,6.152069633381476e-14,9.124141018449524e-16,0.6140110127136829,1.0,100.0,1024,09cb56a8dc55e2ec3a29fc75aaa8c8a29330e3b906728dafe7c0d3a28234460d
70,0.03953580849126766,5.317951566410712e-14,1.0695538880529084e-15,0.6053108571454116,1.0,100.0,1024,8cd4f082de732013be537f4880dfc65d95ceb9c080a3b16a768cd3ce13879f0c
71,0.0238896278292456,9.621191986003023e-14,4.412762050020807e-16,0.5742442645375867,1.0,100.0,1024,721d17a77c045366b4887e2b24aadad861ef05e5459a710c1da80c43bb8b003a
72,0.02729201468567494,5.101286641918794e-14,3.544206508183102e-16,0.5159826617373577,1.0,100.0,1024,4667b7b8bed5bbbf69cd5a60908d6b2ed55dac6818a81c303d84c3c87a97631e
73,0.02097523185595399,5.634472731359638e-14,3.8436513273450016e-16,0.573215938148201,1.0,100.0,1024,a8b9148c3c043d055e603fde4825444c9bb360e8e90b1f1cffb14dcffa519d70
74,0.033429616400018285,2.062409660167904e-13,6.387286917368622e-16,0.49678160315785697,1.0,100.0,1024,01db42f297a975a2569a2090309e12e169a72e93d804c1d40f9496a25285f67f
75,0.03908229095621546,5.080545320093695e-14,1.7989805676749318e-16,0.553159567001645,1.0,100.0,1024,41156d3d5eb95e22ee94e18dff5ec223ade7fce1317e114fcc1e7532fcf4fa85
76,0.028656773103796516,3.744836404867636e-14,3.9528867659426994e-16,0.5488662738716829,1.0,100.0,1024,cfc9911d4ee0b8922a1c124a974db7b1ad90a04b1310974470fa8f2c25d4e7b0
77,0.06598364424448715,1.0815496082359202e-14,6.423856344792941e-16,0.5431734027430083,1.0,100.0,1024,19a579d0e9b8874db231ca80c45c8f9a85e979c8f51d244eff7895f6acf7547b
